"desig","details","org","loc","keyskills","date","expLow","expHigh","salLow","salHigh "
"HR Business Partner","HR Business Partner","Veda Corporate Services","Bengaluru- Ahmedabad","HR Business Partner","2018-03-22",3.0,8.0,1200000.0,1800000.0
"Manager HR","Manager HR","Upman Placements Pvt Ltd","Mumbai","hr- mass hiring- human resource management- Bulk Hiring- HR Analytics...","2018-03-22",4.0,9.0,0.0,0.0
"Currently Hiring for the Position of HR Executive @ Chembur","Currently Hiring for the Position of HR Executive @ Chembur","Integrated Personnel Services Pvt Ltd","Navi Mumbai- Thane","hr- human resource- hr executive- hr generalist- hr operations...","2018-03-22",1.0,5.0,100000.0,250000.0
"HR Head: Taloja Mumbai.  (very Urgent)","HR Head: Taloja Mumbai.  (very Urgent)","AAR KAY MANAGEMENT CONSULTANTS","Mumbai","HR","2018-03-22",15.0,18.0,0.0,0.0
"General Manager HR : Lucknow","General Manager HR : Lucknow","AAR KAY MANAGEMENT CONSULTANTS","Lucknow","hr- human resource management- general management","2018-03-22",18.0,20.0,1000000.0,1200000.0
"Hiring for HR Consultant HR Executive (vikaspuri)","Hiring for HR Consultant HR Executive (vikaspuri)","Expert Staffing Solutions","Delhi(Vikas Puri)","recruitment- mba hr- hr executive- mba fresher- bulk hiring- consultant...","2018-03-22",0.0,2.0,70000.0,225000.0
"Hiring for HR Executive (vikaspuri)","Hiring for HR Executive (vikaspuri)","Expert Staffing Solutions","Delhi(Vikas Puri)","recruitment- mba hr- hr executive- mba fresher- bulk hiring- consultant...","2018-03-22",0.0,2.0,70000.0,225000.0
"HR Recruiter - ( Male )","HR Recruiter - ( Male )","MARS Placements Services","Delhi(Kotla)","Recruitment- Hiring- HR- Staffing- resourcing- talent acquisition","2018-03-22",2.0,4.0,250000.0,300000.0
"HR Fresher Opening | Location: Mumbai | Salary: 10 K + Incentives","HR Fresher Opening | Location: Mumbai | Salary: 10 K + Incentives","Hindco Recruitment Consultants","Mumbai- Mumbai Suburbs","B.Com Fresher- BMS Fresher- B.Sc. Fresher- HR Fresher- Human Resource...","2018-03-22",0.0,1.0,0.0,0.0
"MBA Fresher | HR Recruiter | Location: Mumbai | Salary: 10 K to 12 K","MBA Fresher | HR Recruiter | Location: Mumbai | Salary: 10 K to 12 K","Hindco Recruitment Consultants","Mumbai- Mumbai Suburbs","Mba Fresher- MBA HR- HR- Human Resource- Recruitment- Staffing- Hiring...","2018-03-22",0.0,1.0,0.0,0.0
